prompt,response,originality,elaboration
paperclip,poker chips,2.5,
paperclip,art,2,
paperclip,fixing broken zippers,2,
paperclip,separating papers,1,
paperclip,clean phone openings dust,2.5,
paperclip,bending jewelry,2,
paperclip,bottleopener,2.5,
paperclip,fishing hook bait keeper,3,
paperclip,addition ring  course  kinds accessories  earrings  etc,2,
paperclip,make sure dont loose pages,1,
paperclip,sock clip,2.5,
paperclip,magnetic attachment,2,
paperclip,circuit connector,3,
paperclip,bury,2.5,
paperclip,open jammed jar,2.5,
paperclip,ear,2,
paperclip,luggage tag,2,
paperclip,charm bracelet,2,
paperclip,opening sd card holder phone,2,
paperclip,close pants,2,
paperclip,hang earrings,2,
paperclip,holding mininotebooks,1,
paperclip,gift tag holder,2,
paperclip,mobile reset,3,
paperclip,flat,1,
paperclip,puzzle,2.5,
paperclip,pencil sharpener,3,
paperclip,pointer,2,
paperclip,holding fabric together,1,
paperclip,create game pieces,2.5,
paperclip,keep book open,2,
paperclip,headphone jack cleaner,3,
paperclip,clean small crevices,2.5,
paperclip,check car oil,3,
paperclip,making temporary jewelry,2,
paperclip,shoe repair,2.5,
paperclip,slip,1,
paperclip,bobby pin,2,
paperclip,grill cleaning,2.5,
paperclip,clipping paper,1,
paperclip,itch back,2,
paperclip,angled note holder,2,
paperclip,hold glasses,2,
paperclip,zipper pull replacement,2.5,
paperclip,clean unreachable areas ,2.5,
paperclip,try open doors,2,
paperclip,vases,3,
paperclip,apply nail art,2.5,
paperclip,unlatching latches,2,
paperclip,bag holder,2,
paperclip,prick people,2,
paperclip,memory saver trapped pen,2.5,
paperclip,boat,3,
paperclip,create braided bracelet,2.5,
paperclip,stress relief toy,2.5,
paperclip,electronic reset tool,3,
paperclip,staple paper together,1,
paperclip,save switches devices,2.5,
paperclip,keep shoes closed laces break,2.5,
paperclip,clipping papers together,1,
paperclip,poke paper,2,
paperclip,tighten face mask,3,
paperclip,papercut,2,
paperclip,making necklace,2,
paperclip,bookmark holder,2,
paperclip,makeshift lock pick,2.5,
paperclip,wire art,2,
paperclip,tracing,2.5,
paperclip,button pusher,2.5,
paperclip,memory aid,2.5,
paperclip,tangle remover,2,
paperclip,keep leaves together,1,
paperclip,wire crafts,2,
paperclip,holding photos frame,1,
paperclip,put in hair,2,
paperclip,door lock pick,2.5,
paperclip,entertainment boredom,2,
paperclip,emergency hook,2,
paperclip,memorize pages book,3,
paperclip,note pin,1,
paperclip,tensioning guitar strings,3,
paperclip,recordkeeper,2,
paperclip,eyebrows,3,
paperclip,attach zipper,2,
paperclip,pick guitar strings,2.5,
paperclip,mark place book,2,
paperclip,fish bait holder,3,
paperclip,gift wrapping tool,2,
paperclip,lockunlock file cabinet,1,
paperclip,collecting dirt shower drain,3,
paperclip,cleaning stick,2.5,
paperclip,paper plate holder,3,
paperclip,round,2,
paperclip,pencapcloser,2.5,
paperclip,bread ties,2.5,
paperclip,ice scraper,3,
paperclip,jewelrymaking,2,
paperclip,fishing line,3,
paperclip,puncture tire,3,
paperclip,paper clip remove dirt limescale thin grooves,3,
paperclip,ear phone jack organizer,3,
paperclip,functional,1,
paperclip,keychainmaking,2,
paperclip,fire starter,3,
paperclip,piercing earring,2,
paperclip,cord organizer,2,
paperclip,scrunchy,2.5,
paperclip,plant vine guide,3,
paperclip,keep clothes together,1,
paperclip,eat,3,
paperclip,popping balloons,2.5,
paperclip,mini sculptures,2.5,
paperclip,open coke,2.5,
paperclip,door lock,2,
paperclip,study,1,
paperclip,play guitar,3,
paperclip,tie cords together,2,
paperclip,plant holder,3,
paperclip,artwork,2,
paperclip,pin pictures,2,
paperclip,tie string,2,
paperclip,bracelet,2,
paperclip,creating jewelry,2,
paperclip,latch keeper,2,
paperclip,zipper puller,2.5,
paperclip,clothing button,2,
paperclip,clamping paper,1,
paperclip,collect money,2,
paperclip,hanger small items,2,
paperclip,repairing zippers,2,
paperclip,give away free employees really respect,3,
paperclip,make small shapes,2,
paperclip,jewelry connector,2,
paperclip,zesty plant marker,3.3,
paperclip,tie several paper clips together kind rope,2,
paperclip,button thread guide,2.5,
paperclip,necklace extending pin,2.5,
paperclip,key ring,2,
paperclip,make photo frame paper clips,3,
paperclip,scraper,2.5,
paperclip,bend open  put around links next quick release bicycle chain opening link,3,
paperclip,book,1,
paperclip,bicycle decoration,3,
paperclip,create sculpture,2.5,
paperclip,scratch lottery tickets,2,
paperclip,door lock opener,2.5,
paperclip,cable organizer,2.5,
paperclip,clip hide bra straps,2.5,
paperclip,cigarette holder,3,
paperclip,photo display,2.5,
paperclip,iron hang christmas ball christmas tree,3,
paperclip,piercing earring hole,2,
paperclip,shoe shine brush,3,
paperclip,creating chain,1,
paperclip,cleaning keyboard,2.5,
paperclip,decoration clothing,2,
paperclip,circuit carry current,3,
paperclip,remove cherry pit,2.5,
paperclip,zipper lock,2.5,
paperclip,curl tighter,2,
paperclip,keep hair temporarily secure,2,
paperclip,photo stand,3,
paperclip,computer component,2.5,
paperclip,guitar bridge pin holder,3.3,
paperclip,pot handle fixer,3,
paperclip,splint,3,
paperclip,paper shredder attachment,3,
paperclip,temporary jewelry,2,
paperclip,make special paper clips function buttons clothing,3,
paperclip,paper mache,3,
paperclip,carve stone,3,
paperclip,sharp point open sim card slot many smartphones,3,
paperclip,unlock lock,2,
paperclip,expand press reset button,3,
paperclip,scratcher,2,
paperclip,holding pages place,1,
paperclip,hold circuit board,2.5,
paperclip,pencils,1,
paperclip,lace,2,
paperclip,office occupation,1,
paperclip,mini bungee cord,3,
paperclip,leave piece paper hanging string,2.2,
paperclip,clothes hook barbiedoll clothes,3,
paperclip,miniature sculpture,3,
paperclip,device resetter,3,
paperclip,make figures bending,2,
paperclip,pick up food,2.5,
paperclip,keeping papers together,1,
paperclip,open scratch cards,2.5,
paperclip,guitar slide,3,
paperclip,fastening clothing,1,
paperclip,coiled spring,3,
paperclip,yarn needle,2.5,
paperclip,craft,2,
paperclip,fly toy,2.5,
paperclip,shooter pin,2.5,
paperclip, loosen handcuffs,2,
paperclip,eyeglass holder,2.5,
paperclip,zip door lock,2.5,
paperclip,spring scale,3,
paperclip,keep plants together,2.5,
paperclip,decorate shoes,2.5,
paperclip,hole punch paper,2,
paperclip,electrical wire connector,2.5,
paperclip,cork opener,3,
paperclip,hold battery place,2,
paperclip,stamp,2.5,
paperclip,jabs,1,
paperclip,marking,2,
paperclip,hanging christmas balls,2.5,
paperclip,pokehurt,2,
paperclip,scraping onto chalkboards,2.5,
paperclip,hanging christmas baubles,2.5,
paperclip,hanging clothes,2,
paperclip,hook hang ,2,
paperclip,make hole ground wickseeds,3.3,
paperclip,make hook hang tea towels,2.5,
paperclip,zipper broken paper clip,2.5,
paperclip,cutlery,3,
paperclip,prying open stuck objects,2,
paperclip,repair,2,
paperclip,squeeze pimple,3,
paperclip,cable label,2.5,
paperclip,book know went,1,
paperclip,opening lock,2,
paperclip,test whether hear fall ground   quiet enough,3,
paperclip,sweep crumbs,2.5,
paperclip,kindling,3,
paperclip,build house of cards,3,
paperclip,fish hook,2.5,
paperclip,close chips,2,
paperclip,scrapbooking accent,2,
paperclip,open lock,2,
paperclip,file part needle,2,
paperclip,repair shoes,2.5,
paperclip,attach piece paper,1,
paperclip,roll secure,2,
paperclip,open phone sd card compartment,2,
paperclip,label holder,2,
paperclip,lamp shade tensioner,3,
paperclip,canunlock,2,
paperclip,keep together,1,
paperclip,bitcoin,3,
paperclip,pointed end open drawer phone sim card,2.5,
paperclip,fasten loose paper,1,
paperclip,remove dirt in phone,2.5,
paperclip,unzip,2,
paperclip,jewelry pendant,2,
paperclip,chop stick,3,
paperclip,maybe hairpin,2,
paperclip,hairstyling,2.5,
paperclip,planttieing,2.5,
paperclip,bread tag holder,2.5,
paperclip,staple maker,2,
paperclip,reset computer,3,
paperclip,fixing eyeglasses,2,
paperclip,cleaning fingernails,2.5,
paperclip,tap sound,2.5,
paperclip,holding cords together,1,
paperclip,emergency whistle,3,
paperclip,earphone detangler,2.5,
paperclip,fidget,2,
paperclip,paper weight,1.5,
paperclip,tighten skirt,3,
paperclip,abstract art,2.5,
paperclip,recreate eiffel tower,3,
paperclip,clamping,2,
paperclip,measuring tool,2.5,
paperclip,replacing tab zipper,2.5,
paperclip,holding thread piece wool together knitting,3,
paperclip,repair broken zipper,2,
paperclip,stick large canvas nice shapes,3,
paperclip,confirmation ivy,3.3,
paperclip,small sculpture,2.5,
paperclip,eyeglass repair,2.5,
paperclip,doorstop,2.5,
paperclip,computer repair tool,2.5,
paperclip,flattening wrinkles,2,
paperclip,pin notes computer,1,
paperclip,flower holders,2.5,
paperclip,make thin wire put chip card phone,3,
paperclip,make sculpture,2,
paperclip,christmas bauble hook,3,
paperclip,zipping pants,2,
paperclip,earring post,2.5,
paperclip,replace broken zipper,2.5,
paperclip,paper chain,2,
paperclip,medical tool,3,
paperclip,compass,3,
paperclip,check whether chicken good,3.3,
paperclip,replace lost button shirt,2,
paperclip,calendar marker,2.5,
paperclip,remove dirt in nail,2,
paperclip,magic wand,3,
paperclip,marking places books,2,
paperclip,fix bra,2.5,
paperclip,exchange bigger,2,
paperclip,miniature mobile,3,
paperclip,toothpick dispenser,3,
paperclip,lanyard clip,2,
paperclip,dip pen in ink,2.5,
paperclip,metal fence,3,
paperclip,magnethanging,2,
paperclip,secret note holder,2,
paperclip,safety pin substitute,2,
paperclip,ring,2,
paperclip,fix,1,
paperclip,check if cookies are baked,3.3,
paperclip,hook coat,2,
paperclip,scratch cards scratches,2.5,
paperclip,poking holes microwave food,3,
paperclip,art project component,2,
paperclip,guitar strap replacement,3,
paperclip,make insects,3,
paperclip,cord identifier,2,
paperclip,scratch car,2.5,
paperclip,staple substitute,2,
paperclip,hook bra,2.5,
paperclip,animal figures,3,
paperclip,binder clip,1,
paperclip,board game tokens,2.5,
paperclip,sculpting wire,2.5,
paperclip,press stack papers together,1,
paperclip,paint palette knife holder,3,
paperclip,frame to take pics in ,3,
paperclip,popping pimple,3,
paperclip,extended finger,2.5,
paperclip,christmas ornament,2.5,
paperclip,sim card opener open mobile,2.5,
paperclip,straighten bent items,2,
paperclip,work art fear  ask whether people tooth filling dare bite,3.3,
paperclip,clothes line pin,2,
paperclip,make flag,3,
paperclip,making zipper pulls,2,
paperclip,temporarily hold loose piece clothing together,1,
paperclip,scratch,2,
paperclip,anklet,2.5,
paperclip,tie bread,3,
paperclip,remove seeds fruit,3,
paperclip,keep cable apart,2,
paperclip,cat toy,3,
paperclip,art work,2,
paperclip,paint different color,2.5,
paperclip,bunch flowers,3,
paperclip,projects,2,
paperclip,wall,2,
paperclip,eyeglasses holder,2.5,
paperclip,fruit spacer,3,
paperclip,braid hair hair ornament,2.5,
paperclip,fix eyeglasses arm loose,2.5,
paperclip,brace,2,
paperclip,building model,3,
paperclip,vise grip replacement,3,
paperclip,defend,2.5,
paperclip,cake decoration,3,
paperclip,tiny gift tag,2,
paperclip,lock chain,2,
paperclip,haipin,2.5,
paperclip,magnet pickup,2.5,
paperclip,typing,2,
paperclip,hook open coronaproof doors,3,
paperclip,reset tamagotchi,3,
paperclip,stirring pan,3,
paperclip,sharp,2,
paperclip,message,1,
paperclip,gift tag,2,
paperclip,wire loop maker,2.5,
paperclip,hose leak sealer,3,
paperclip,telephone dial pad button,3,
paperclip,hairband,2.5,
paperclip,keep bracelets together want take holiday  example,2.5,
paperclip,bend iron wire attach,2,
paperclip,hang painting,2,
paperclip,belt hole puncher,2.5,
paperclip,unlocking door,2,
paperclip,remove splinters,2,
paperclip,fashion accessory,2,
paperclip,magnetic field detector,3,
paperclip,sell,2,
paperclip,nail remover,2.5,
paperclip,hair,2,
paperclip,make cord creatures walk  ants,3,
paperclip,artinstallationaid,2.5,
paperclip,recycle,2,
paperclip,forkskewer,3,
paperclip,phone sensor blocker,3,
paperclip,clean difficult reach,2,
paperclip,â bow,2,
paperclip,make shorthand notes,2.5,
paperclip,hanging pictures line,2,
paperclip,prying open jars,2.5,
paperclip,mobile part,2.5,
paperclip,press reset button phone,3,
paperclip,put lot together piece string measure circumference,3,
paperclip,removing stuck keys,2,
paperclip,paper aeroplane,3,
paperclip,ornament,2,
paperclip,make raft,3,
paperclip,make temporary key,2.5,
paperclip,link attach,1,
paperclip,open sim card compartment,2.5,
paperclip,table,2,
paperclip,remove chewing gum,2,
paperclip,ruler,2.5,
paperclip,holding together falling apart,1,
paperclip,attach flower wall post stays upright,3,
paperclip,maybe beer opener,2.5,
paperclip,sharp point reset button  example  calculator,3,
paperclip,itch scratch,2,
paperclip,hang key ring nice pendant,2,
paperclip,wire tie,2,
paperclip,modern art,2.5,
paperclip,helix,3,
paperclip,reset tab,2.5,
paperclip,bracelet link,2,
paperclip,jewelry protector,2.5,
paperclip,toothbrush rest,3,
paperclip,give broken zipper hanger,2.5,
paperclip,guitar tuner,3,
paperclip,paper tabs,1,
paperclip,letter document sealing,1,
paperclip,tie end belt loop,2,
paperclip,make keychain,2,
paperclip,picture hanging,2,
paperclip,marking spots,2,
paperclip,opening zipper,2,
paperclip,university supplies,2,
paperclip,handbag,2.5,
paperclip,accessory clothing,2,
paperclip,transform straight line bend,2,
paperclip,make paper airplane,2,
paperclip,wiretwister,2.5,
paperclip,build,2,
paperclip,zipper handle,3,
paperclip,making pants,2,
paperclip,holding paper,1,
paperclip,clip tea bag,2.5,
paperclip,cleaning small holes,2.5,
paperclip,earbud holder,2.5,
paperclip,open cans,2.5,
paperclip,square,1,
paperclip,fasten,1,
paperclip,sculpture,2.5,
paperclip,ilever tool,2.5,
paperclip,open phone,2,
paperclip,collar for mice,3,
paperclip,acupuncture,2.5,
paperclip,puncture bubble wrap,2,
paperclip,coaster,2.5,
paperclip,remove dirt from teeth,2.5,
paperclip,finger football,3,
paperclip,creating art,2,
paperclip,bookmark tassel,2,
paperclip,removing dirt keypad,2.5,
paperclip,iron wire engrave text,3,
paperclip,miniature catapult,3,
paperclip,bend boat,3,
paperclip,make harness,3,
paperclip,ornamental hook,2,
paperclip,curtain hook,2.5,
paperclip,turn onoff,2,
paperclip,zipperfix,2.5,
paperclip,make garment smaller,2,
paperclip,pen cap holder,2.5,
paperclip,drill bit holder,3,
paperclip,hold place book,1,
paperclip,fix loose wires,2,
paperclip,curtain tie back,2.5,
paperclip,tie clip,2,
paperclip,clip paper together,1,
paperclip,paint scraper,2.5,
paperclip,sculpture base,3,
paperclip,fake nails,3,
paperclip,art project fastener,2,
paperclip,engravingscratching,2,
paperclip,clothes fastener,2,
paperclip,wireorganizer,2,
paperclip,miscellaneous item,1,
paperclip,picturehanging,2,
paperclip,keep drawings together,1,
paperclip,scratching back,2.5,
paperclip,buckle,2.5,
paperclip,prop actors,3,
paperclip,making jewelry,2,
paperclip,repair jewelry,2,
paperclip,make cross for ant grave,3.3,
paperclip,removing stuck objects,2,
paperclip,fix glasses,2,
paperclip,reformed attach lame trouser zipper trouser button,3,
paperclip,clip close plastic bags,2,
paperclip,creating earrings,2,
paperclip,pipe hose clamp,3,
paperclip,dress,2,
paperclip,picking teeth,2,
paperclip,clip papers,1,
paperclip,crafting wire organizers,2,
paperclip,plant support garden,3,
paperclip,loosen stuck,2,
paperclip,put fingers,2,
paperclip,tool creations nails nail polish,2.5,
paperclip,unclog paper jams,2,
paperclip,bracelet making,2,
paperclip,mini sculpture material,3,
paperclip,clamp,2,
paperclip,prick marshmello,3,
paperclip,pinchholder,2,
paperclip,twist pen top,2.5,
paperclip,make doll,3,
paperclip,straighten clip pin,2,
paperclip,opening jammed jars,2.5,
paperclip,price tag holder,2,
paperclip,paper clip chain,1,
paperclip,activating mouse clicker,3,
paperclip,make chain multiple paper clips,1,
paperclip,exchange,1,
paperclip,miniature weapon,2.5,
paperclip,bullet casing,3,
paperclip,staple remover,2,
paperclip,remove dirt nail,2,
paperclip,compass needle,3,
paperclip,sewing needles,2.5,
paperclip,passes locks,2,
paperclip,curve paper clip tongue scraper,3,
paperclip,hang jewelry,2,
paperclip,picture framing tool,2,
paperclip,guitar string tuner,3,
paperclip,making paper sculptures,2.5,
paperclip,poke open,2,
paperclip,open jarsbottles,2.5,
paperclip,draw straight line,2,
paperclip,fastening papers,1,
paperclip,mini mobile,3,
paperclip,outdated,2,
paperclip,nose ring,2.5,
paperclip,make garland,2.5,
paperclip,sim card tray,3,
paperclip,clothing embellishments,2,
paperclip,make necklace,2,
paperclip,hold papers,1,
paperclip,making animal statue  ie  making contour,3,
paperclip,make hooks,2,
paperclip,streamer,2.5,
paperclip,paper mache bowl former,3,
paperclip,hose mender,3,
paperclip,make needle sewing,2,
paperclip,iron wire,2,
paperclip,generate electricity,3,
paperclip,specifications,2,
paperclip,stokers teeth,3,
paperclip,safety pin holder,2.5,
paperclip,tap on table,2,
paperclip,zipper label,3,
paperclip,ribbon,2,
paperclip,fixing broken glasses,2.5,
paperclip,meat thermometer holder,3.3,
paperclip,carve table,3,
paperclip,plant tie,3,
paperclip,paper towel dispenser,3.3,
paperclip,hanging christmas balls tree,2.5,
paperclip,whiteboard identifier,2.5,
paperclip,unfolded hook grab dropped earring sink,2.5,
paperclip,minijavelin,3,
paperclip,toy car axle,3,
paperclip,scraper cleaning,2.5,
paperclip,hang christmas baubles tree,2.5,
paperclip,cure paper jams,2,
paperclip,organising,1,
paperclip,making compass,3,
paperclip,straightener,2,
paperclip,paper clip throwing contest,2.5,
paperclip,sign,1,
paperclip,nail file,2.5,
paperclip,staples,1,
paperclip,lockpick lock,2,
paperclip,macgyver fixes,2,
paperclip,pierce ears,2,
paperclip,clothesline clip,2,
paperclip,picking locks,2,
paperclip,connect together,1,
paperclip,remove dirt in nails,2,
paperclip,put on table,1,
paperclip,open stuck zipper,2,
paperclip,candle wick,3,
paperclip,miniature slingshot,3,
paperclip,reset button electronics,3,
paperclip,attach name tag to pant/shirt,1,
paperclip,organizing jewelry,2,
paperclip,sealing envelopes,1,
paperclip,remove dirt keyboard,2.5,
paperclip,link chains,2,
paperclip,attach clothes,1,
paperclip,guitar pick,3,
paperclip,open iphone,2,
paperclip,antenna,3,
paperclip,experience jewelry,2,
paperclip,hold in place,1,
paperclip,art supply,2,
paperclip,tripod foot,3,
paperclip,bamboo stick,3.3,
paperclip,access narrow hole,2,
paperclip,hold paper,1,
paperclip,sword toy doll,3,
paperclip,separate items washing,2.5,
paperclip,scratch dvd,2.5,
paperclip,tangleremover,2.5,
paperclip,wind stringwire around,2.5,
paperclip,paper clips fasten shoes,3,
paperclip,could fishing hook,2,
paperclip,fasten paper together,1,
paperclip,confirm,2,
paperclip,keep together paper,1,
paperclip,pop blister,3,
paperclip,repierce closed earring holes,2.5,
paperclip,making bookmarks,2,
paperclip,make ring,2,
paperclip,stringing beads,2,
paperclip,paper mache ingredient,3,
paperclip,keyring,2,
paperclip,unlatching,2,
paperclip,notes,1,
paperclip,cord manager,2,
paperclip,clip,1,
paperclip,cutting wrist,1,
paperclip,connecting paper,1,
paperclip,beautiful,2,
paperclip,puzzle solution,3,
paperclip,make dress,3,
paperclip,carving tool,2.5,
paperclip,scratches glass etc,2.5,
paperclip,get s attention throwing,2,
paperclip,soldering aid,3,
paperclip,could unfold way long rod turn sort scoop,3,
paperclip,squeezing pimple,3,
paperclip,tie several together  hang wall hang jewelry,2,
paperclip,shield,3,
paperclip,making art,2,
paperclip,electrocuting sock,3,
paperclip,perfect makeup lines,3,
paperclip,poking holes,2,
paperclip,open letter,1,
paperclip,scratching itchy spots,2.5,
paperclip,untangle ears,2,
paperclip,puncturing car tire,3,
paperclip,emergency shoelace,2.5,
paperclip,kind knife  cut  get smaller pieces,3,
paperclip,hook,2,
paperclip,hang pictures,2,
paperclip,screen protector lock,3,
paperclip,battery,3,
paperclip,alternative prime,2,
paperclip,poke side,2,
paperclip,creating patterns,2,
paperclip,computer cable organizer,2.5,
paperclip,write in sand,3,
paperclip,keep bread bag closed,2,
paperclip,repair glasses,2.5,
paperclip,new zipper,2.5,
paperclip,paper airplane propeller,3,
paperclip,sword mouse,3,
paperclip,document binder,1,
paperclip,works art,2,
paperclip,shape puzzle for child,3,
paperclip,electricity conductor,3,
paperclip,facial decoration,2.5,
paperclip,christmas tree ornament,3,
paperclip,eyeglass screw tightener,3,
paperclip,symbol,2,
paperclip,household item,1,
paperclip,clean nails,2,
paperclip,make sieve,3,
paperclip,toy,2,
paperclip,piano key,3,
paperclip,door handle opener,2.5,
paperclip,sorting money notes,2,
paperclip,paper airplane connector,3,
paperclip,car antenna straightener,3,
paperclip,bending making art,2,
paperclip,keep sheets together,1,
paperclip,letter grading,2,
paperclip,self-defence,2.5,
paperclip,christmas ornament hanger,2.5,
paperclip,stress releaser,2.5,
paperclip,open keyhole,2,
paperclip,string paper clips together form chain,2,
paperclip,guitar string keeper,3,
paperclip,clamps,2,
paperclip,emergency hair tie holder,2.5,
paperclip,mending clothing,2,
paperclip,pick breadcrumb keyboard,3,
paperclip,create keychain,2,
paperclip,emergency fishhook,2.5,
paperclip,decorations christmas tree,2.5,
paperclip,unclogging stapler,2.5,
paperclip,indication,2,
paperclip,temporary eyeglass repairs,2.5,
paperclip,tape measure zero reset,3,
paperclip,wire management,2,
paperclip,craft material,2,
paperclip,remove dirt sole shoe,2.5,
paperclip,chain charm,2,
paperclip,replace missing staple paper,1,
paperclip,draw/write,2,
paperclip,book mark,1.5,
paperclip,organize jewelry,2,
paperclip,writing,2,
paperclip,puzzle piece holder,2.5,
paperclip,magic trick,3,
paperclip,make brooch,2,
paperclip,help plants grow straight,3.3,
paperclip,remove iphone sim card,2,
paperclip,cablemanagement,2,
paperclip,special baseball,3.3,
paperclip,marshmallow skewer,3,
paperclip,photography object,3,
paperclip,clean keys,2.5,
paperclip,tie money,2,
paperclip,add string beautiful necklace,2,
paperclip,knit,3,
paperclip,pick open lock door,2,
paperclip,remove wink waste,2,
paperclip,bend ring,2,
paperclip,clip lip,2,
paperclip,model copy,2.5,
paperclip,fork alternative,3,
paperclip,making bracelets,2,
paperclip,visual aid board string around,2.5,
paperclip,straw,3,
paperclip,clean fingernails,2.5,
paperclip,mend clothes,2,
paperclip,link chain,1,
paperclip,hold tea bag,2,
paperclip,reset,2.5,
paperclip,eraser,2.5,
paperclip,clear clogged spray bottle,3,
paperclip,key ca get somewhere,2,
paperclip,mending tool,2,
paperclip,close,1,
paperclip,outraged object art,3,
paperclip,measuring gauge,3,
paperclip,chandelier decoration,3,
paperclip,crocheting needle,3,
paperclip,earring hole piercer,2.5,
paperclip,openforce lock,2,
paperclip,paper clip belt,2.5,
paperclip,hanging curtains,2.5,
paperclip,roll dough,3,
paperclip,face masks together holder,3,
paperclip,repair eyeglasses,2,
paperclip,hold wires together,1,
paperclip,organize loose notespapers,1,
paperclip,needle threader,2.5,
paperclip,eyeglasses fixer,2,
paperclip,place curtain rod hooks,3,
paperclip,fuse puller,3,
paperclip,nail clipper,2.5,
paperclip,desk tidy,2,
paperclip,cookie shape,3,
paperclip,garland ring,2.5,
paperclip,threaten,2,
paperclip,build tower,2,
paperclip,make chain hearts,2,
paperclip,snatching dropped items,2.5,
paperclip,hurt,2,
paperclip,organize,1,
paperclip,replace sim card,2.5,
paperclip, ,1,
paperclip,thing remove sim card iphone,2,
paperclip,grip enhancer,2.5,
paperclip,straighten bent paper clips,2,
paperclip,tripwire,3,
paperclip,note holder,1,
paperclip,restore hung jewelry,2.5,
paperclip,get dirt nail,2.5,
paperclip,page marker,1,
paperclip,experiment creativity,2,
paperclip,puncture football,3,
paperclip,puncture pimple blister blister,3,
paperclip,remove dirt sound holes phone,3,
paperclip,temporary button,2.5,
paperclip,give presentation,2,
paperclip,pierce paper,1,
paperclip,paperweight,2,
paperclip,taadenstoker,3,
paperclip,attach name tag to clothing,1,
paperclip,trading game,2.5,
paperclip,remove dirt nails,2,
paperclip,keep curtains together,2.5,
paperclip,write in clay,3,
paperclip,letteropener,2,
paperclip,weigh objects,2,
paperclip,carefully clean phone s charging hole,3,
paperclip,virtual assistant word processor,3,
paperclip,hanging lantern,3,
paperclip,note dispenser,2,
paperclip,parallel,2,
paperclip,puncture tires,3,
paperclip,document sorter,1,
paperclip,skewer stick,3,
paperclip,end zipper hanger broken,2.5,
paperclip,drinking game,3,
paperclip,stirrup,3,
paperclip,keep keys together,1,
paperclip,christmas tree decorations,3,
paperclip,coat rack hanger,3,
paperclip,cufflink,2.5,
paperclip,paper clip puzzle,2.5,
paperclip,gift ribbon,2.5,
paperclip,pushpin substitute,2,
paperclip,bookmarking pages magazines,1,
paperclip,desk,1,
paperclip,cleaning keyboard keys,2.5,
paperclip,open sim card,2,
paperclip,eyeglassfixer,2.5,
paperclip,poke eye as excuse,3,
paperclip,unclogging glue bottles,2.5,
paperclip,put together image,2,
paperclip,make weak handcuffs,2,
paperclip,earrings,2,
paperclip,bag strap,2.5,
paperclip,measurable unit,3,
paperclip,merge paper,1,
paperclip,zipping aid,2.5,
paperclip,keychain ring,2,
paperclip,skewer food,2.5,
paperclip,accessory,2,
paperclip,spacer soldering,3,
paperclip,unsticking zippers,2,
paperclip,cable manager,2.5,
paperclip,keychain link,2,
paperclip,could fold way looks thing bong put weed,3.3,
paperclip,temporarily attach paper together,1,
paperclip,sim eject tool,2.5,
paperclip,temporary fix broken zipper,2,
paperclip,bookmark weight,2,
paperclip,company promotional gift,2.5,
paperclip,bookbinder,2.5,
paperclip,trivet,3,
paperclip,fixing zipper,2,
paperclip,bend shapes,2,
paperclip,hanger zipper,2,
paperclip,suture wounds,3,
paperclip,connect headphones one socket broken,3,
paperclip,open,1,
paperclip,fastening loose papers,1,
paperclip,hook of zip,2,
paperclip,apply resin,3,
paperclip,press reset button end,3,
paperclip,large clothes hanger,2.5,
paperclip,organize paper photos stacks,1,
paperclip,untangling strings,2,
paperclip,eyelet fastener,2,
paperclip,belt buckle,2.5,
paperclip,tie hair,2,
paperclip,picture frame prop,2.5,
paperclip,screwdriver tiny screws,2.5,
paperclip,marking pages,1,
paperclip,scrape nails,2,
paperclip,keep window open crack,2.5,
paperclip,ice cube mold indent,3.3,
paperclip,scraping nails,2,
paperclip,seal plastic bag,2,
paperclip,tying cables,2,
paperclip,everywhere,1,
paperclip,make holes in flower,3,
paperclip,sculpting tool,2.5,
paperclip,prick paper,2,
paperclip,sculptural art,2.5,
paperclip,hat pins,2.5,
paperclip,science experiment tool,3,
paperclip,create puzzle,2.5,
paperclip,attach papers,1,
paperclip,attach plants sticks grow upwards,3.3,
paperclip,reset phone,3,
paperclip,getting dirtsheep narrow slots,2.5,
paperclip,necklace clasp,2,
paperclip,busy,1,
paperclip,hang christmas lights,3,
paperclip,armor,3,
paperclip,puncture dried glue,2.5,
paperclip,pick nose,2,
paperclip,emergency sewing needle,2.5,
paperclip,needle case,2.5,
paperclip,hold business card wall,1,
paperclip,oven,3.3,
paperclip,could make earring,2,
paperclip,keep cards together,1,
paperclip,holding straps shirtbra together back,2.5,
paperclip,tie cables together,2,
paperclip,picnic letter opener,3,
paperclip,opening phone s sim card holder,2,
paperclip,make hairclip,2,
paperclip,paper clip coaster,2.5,
paperclip,stapler,2,
paperclip,hair styling,2.5,
paperclip,pin drop silence test,3,
paperclip,close plastic bag,2,
paperclip,binder,1,
paperclip,sticks,1,
paperclip,bookmark holder cookbooks,2.5,
paperclip,bend different shapes decoration,2,
paperclip,bent  open phone replace sim card,2.5,
paperclip,identifier,2,
paperclip,magnetic hook,2.5,
paperclip,creating origami sculptures,3,
paperclip,furnace door holder,3,
paperclip,plant marker,3,
paperclip,turn  example  heart decoration,2.5,
paperclip,makeshift lighter,3,
paperclip,kapo guitar,3,
paperclip,open jars,2.5,
paperclip,magnetic,2,
paperclip,bird fat ball hanger,3.3,
paperclip,note passing class,2,
paperclip,arranging flowers,3,
paperclip,unclogging holes,2.5,
paperclip,adhd toy,2.5,
paperclip,closing chip bag,2,
